GeneID	MeanExpLev	Period	Phase	Beta	pMMC-Beta
HanXRQChr14g0431521	3.7957E+01	2.6200E+01	-9.1700E+00	6.5732E+00	1.0895E-03
HanXRQChr04g0125341	2.9476E+01	2.6000E+01	-9.6200E+00	4.9491E+00	1.0895E-03
HanXRQChr08g0224861	4.9504E+01	2.3400E+01	1.4040E+00	5.5853E+00	1.0895E-03
HanXRQChr12g0365701	3.5652E+00	2.4700E+01	-9.6330E+00	1.9254E+00	1.0895E-03
HanXRQChr03g0083401	2.7743E+01	2.3500E+01	-3.0550E+00	6.0539E+00	1.0895E-03
HanXRQChr03g0076801	6.7609E+01	2.4900E+01	-1.1454E+01	9.7383E+00	1.0895E-03
HanXRQChr11g0327721	1.9749E+00	2.4100E+01	5.7840E+00	8.9805E-01	1.0895E-03
HanXRQChr06g0173201	2.6993E+00	2.2900E+01	5.7250E+00	1.9853E+00	1.0909E-03
HanXRQChr10g0318431	4.9521E+00	2.2200E+01	1.0212E+01	1.0122E+00	1.0909E-03
HanXRQChr15g0477021	3.9783E+00	2.3900E+01	1.1950E+01	6.8588E-01	1.0923E-03
HanXRQChr08g0235331	2.9888E+00	2.2800E+01	1.8240E+00	1.7038E+00	1.0923E-03
HanXRQChr16g0515751	1.8111E+01	2.5200E+01	-8.5680E+00	2.7069E+00	1.0923E-03
HanXRQChr13g0406231	1.7438E+00	2.3400E+01	-9.1260E+00	3.7816E-01	1.0923E-03
HanXRQChr09g0277101	2.1805E+01	2.2900E+01	4.8090E+00	1.0818E+01	1.0923E-03
HanXRQChr07g0198861	2.3715E+01	2.6100E+01	9.3960E+00	4.1232E+00	1.0923E-03
HanXRQChr13g0387991	4.9072E+01	2.1200E+01	-6.3600E-01	3.8854E+00	1.0923E-03
HanXRQChr11g0341391	2.6835E-01	2.2700E+01	4.5400E+00	2.4446E-01	1.0923E-03
HanXRQChr03g0077101	1.1435E+00	2.2600E+01	-3.8420E+00	5.0717E-01	1.0923E-03
